source_csv,WarningCode,a_id,a_commit,a_date,a_message,a_file,a_suppressed_annotation,a_line_no,a_annotation_type,a_diffs,a_pre_commit,a_post_commit,Category,Category explanation,d_id,d_commit,d_date,d_message,d_file,d_suppressed_annotation,d_line_no,d_annotation_type,d_diffs,d_pre_commit,d_post_commit
      if (entry.getValue().equals(-1)) {
        LOGGER.fatal(""Could not find column for '""
            + entry.getKey() + ""'"");
        System.exit(1);
      }
    }
  }","  /**
   * Find the index of the columns. If a column can't be found, output an error
   * and exit.
   * 
   * @throws IOException
   */
  @SuppressFBWarnings(value = ""DM_EXIT"", justification = ""Method is documented to cause an exit"")
  private void findColumns(final CSVReader csvreader) throws IOException {
    initializeColumnAssignments();

    while (columnAssignments.get(signupDateHeader).equals(-1)) {
      final String[] line = csvreader.readNext();
      if (null == line) {
        LOGGER.fatal(""Cannot find header line and reached EOF"");
        System.exit(1);
      }

      initializeColumnAssignments();

      for (int i = 0; i < line.length; ++i) {
        for (final Map.Entry<String, Integer> entry : columnAssignments.entrySet()) {
          if (line[i].equals(entry.getKey())) {
            entry.setValue(i);
          }
        }
      }
    }

    for (final Map.Entry<String, Integer> entry : columnAssignments.entrySet()) {
      if (entry.getValue().equals(-1)) {
        LOGGER.fatal(""Could not find column for '""
            + entry.getKey() + ""'"");
        System.exit(1);
      }
    }
  }",Unactionable,justification there,,,,,,,,,,,
fll-sw.csv,DM_EXIT,fll_a_31,9a9354103dee0778be56ed97da07533e1825761e,2013-12-28 8:27:52,Cleanup findbug warnings from 2.0.3,scoring/src/fll/subjective/SubjectiveFrame.java,"@SuppressFBWarnings(value = ""DM_EXIT"", justification = ""If no file is chosen we cannot continue"")",232,Added,"  import fll.util.LogUtils;
 @@ -228,6 +229,7 @@ public final class SubjectiveFrame extends JFrame {
     * 
     * @throws IOException
     */
+  @SuppressFBWarnings(value = ""DM_EXIT"", justification = ""If no file is chosen we cannot continue"")
    public void promptForFile() throws IOException {
      final File file = chooseSubjectiveFile(""Please choose the subjective data file"");
      try {
 @@ -306,7 +308,7 @@ public final class SubjectiveFrame extends JFrame {","  public void promptForFile() throws IOException {
    final File file = chooseSubjectiveFile(""Please choose the subjective data file"");
    try {
      if (null != file) {
        load(file);
      } else {
        System.exit(0);
      }
    } catch (final IOException ioe) {
      JOptionPane.showMessageDialog(null, ""Error reading data file: ""
          + file.getAbsolutePath() + "" - "" + ioe.getMessage(), ""Error"", JOptionPane.ERROR_MESSAGE);
      LOGGER.fatal(""Error reading datafile: ""
          + file.getAbsolutePath(), ioe);
      System.exit(1);
    }
  }","  /**
   * Prompt the user for a file to load. Calls exit on error.
   * 
   * @throws IOException
   */
  @SuppressFBWarnings(value = ""DM_EXIT"", justification = ""If no file is chosen we cannot continue"")
  public void promptForFile() throws IOException {
    final File file = chooseSubjectiveFile(""Please choose the subjective data file"");
    try {
      if (null != file) {
        load(file);
      } else {
        System.exit(0);
      }
    } catch (final IOException ioe) {
      JOptionPane.showMessageDialog(null, ""Error reading data file: ""
          + file.getAbsolutePath() + "" - "" + ioe.getMessage(), ""Error"", JOptionPane.ERROR_MESSAGE);
      LOGGER.fatal(""Error reading datafile: ""
          + file.getAbsolutePath(), ioe);
      System.exit(1);
    }
  }",Technical Debt,UI flow calls System.exit() directly and was later revised to close the view instea,fll_d_6,93df8c7c84a99b8858b92219c60222bd8855ae75,2016-06-03 20:10:39,Make sure that applications exit in a way that they can be used,scoring/src/fll/subjective/SubjectiveFrame.java,"@SuppressFBWarnings(value = ""DM_EXIT"", justification = ""If no file is chosen we cannot continue"")",244,Deleted,"    }
 @@ -241,14 +260,13 @@ public final class SubjectiveFrame extends JFrame {
     * 
     * @throws IOException
     */
-  @SuppressFBWarnings(value = ""DM_EXIT"", justification = ""If no file is chosen we cannot continue"")
    public void promptForFile() throws IOException {
      final File file = chooseSubjectiveFile(""Please choose the subjective data file"");
      try {
        if (null != file) {","  /**
   * Prompt the user for a file to load. Calls exit on error.
   * 
   * @throws IOException
   */
  @SuppressFBWarnings(value = ""DM_EXIT"", justification = ""If no file is chosen we cannot continue"")
  public void promptForFile() throws IOException {
    final File file = chooseSubjectiveFile(""Please choose the subjective data file"");
    try {
      if (null != file) {
        load(file);
      } else {
        System.exit(0);
      }
    } catch (final IOException ioe) {
      JOptionPane.showMessageDialog(null, ""Error reading data file: ""
          + file.getAbsolutePath() + "" - "" + ioe.getMessage(), ""Error"", JOptionPane.ERROR_MESSAGE);
      LOGGER.fatal(""Error reading datafile: ""
          + file.getAbsolutePath(), ioe);
      System.exit(1);
    }
  }","  public void promptForFile() throws IOException {
    final File file = chooseSubjectiveFile(""Please choose the subjective data file"");
    try {
      if (null != file) {
        load(file);
      } else {
        setVisible(false);
      }
    } catch (final IOException ioe) {
      JOptionPane.showMessageDialog(null, ""Error reading data file: ""
          + file.getAbsolutePath() + "" - "" + ioe.getMessage(), ""Error"", JOptionPane.ERROR_MESSAGE);
      LOGGER.fatal(""Error reading datafile: ""
          + file.getAbsolutePath(), ioe);
      System.exit(1);
    }
  }"
fll-sw.csv,DM_EXIT,fll_a_32,9a9354103dee0778be56ed97da07533e1825761e,2013-12-28 8:27:52,Cleanup findbug warnings from 2.0.3,scoring/src/fll/subjective/SubjectiveFrame.java,"@SuppressFBWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")",495,Added," @@ -490,7 +492,7 @@ public final class SubjectiveFrame extends JFrame {
     * Prompt the user with yes/no/cancel. Yes exits and saves, no exits without
     * saving and cancel doesn't quit.
     */
-  @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")
+  @SuppressFBWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")
    /* package */void quit() {
      if (validateData()) {
  
 @@ -525,7 +527,7 @@ public final class SubjectiveFrame extends JFrame {","  @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")
  /* package */void quit() {
    if (validateData()) {

      final int state = JOptionPane.showConfirmDialog(SubjectiveFrame.this,
                                                      ""Save data?  Data will be saved in same file as it was read from."",
                                                      ""Exit"", JOptionPane.YES_NO_CANCEL_OPTION);
      if (JOptionPane.YES_OPTION == state) {
        try {
          save();
          setVisible(false);
          dispose();
        } catch (final IOException ioe) {
          JOptionPane.showMessageDialog(null, ""Error writing to data file: ""
              + ioe.getMessage(), ""Error"", JOptionPane.ERROR_MESSAGE);
        }

        System.exit(0);
      } else if (JOptionPane.NO_OPTION == state) {
        setVisible(false);
        dispose();
        System.exit(0);
      }
    }
  }","  /**
   * Prompt the user with yes/no/cancel. Yes exits and saves, no exits without
   * saving and cancel doesn't quit.
   */
  @SuppressFBWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")
  /* package */void quit() {
    if (validateData()) {

      final int state = JOptionPane.showConfirmDialog(SubjectiveFrame.this,
                                                      ""Save data?  Data will be saved in same file as it was read from."",
                                                      ""Exit"", JOptionPane.YES_NO_CANCEL_OPTION);
      if (JOptionPane.YES_OPTION == state) {
        try {
          save();
          setVisible(false);
          dispose();
        } catch (final IOException ioe) {
          JOptionPane.showMessageDialog(null, ""Error writing to data file: ""
              + ioe.getMessage(), ""Error"", JOptionPane.ERROR_MESSAGE);
        }

        System.exit(0);
      } else if (JOptionPane.NO_OPTION == state) {
        setVisible(false);
        dispose();
        System.exit(0);
      }
    }
  }",Technical Debt,fixed later,fll_d_7,93df8c7c84a99b8858b92219c60222bd8855ae75,2016-06-03 20:10:39,Make sure that applications exit in a way that they can be used,scoring/src/fll/subjective/SubjectiveFrame.java,"@SuppressFBWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")",543,Deleted,"  
-  /**
-   * Prompt the user with yes/no/cancel. Yes exits and saves, no exits without
-   * saving and cancel doesn't quit.
-   */
-  @SuppressFBWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")
-  /* package */void quit() {
+      /**
+       * Prompt the user with yes/no/cancel. Yes exits and saves, no exits
+       * without","  /**
   * Prompt the user with yes/no/cancel. Yes exits and saves, no exits without
   * saving and cancel doesn't quit.
   */
  @SuppressFBWarnings(value = ""DM_EXIT"", justification = ""This is the exit method for the application"")
  /* package */void quit() {
    if (validateData()) {

      final int state = JOptionPane.showConfirmDialog(SubjectiveFrame.this,
                                                      ""Save data?  Data will be saved in same file as it was read from."",
                                                      ""Exit"", JOptionPane.YES_NO_CANCEL_OPTION);
      if (JOptionPane.YES_OPTION == state) {
        try {
          save();
          setVisible(false);
          dispose();
        } catch (final IOException ioe) {
          JOptionPane.showMessageDialog(null, ""Error writing to data file: ""
              + ioe.getMessage(), ""Error"", JOptionPane.ERROR_MESSAGE);
        }

        System.exit(0);
      } else if (JOptionPane.NO_OPTION == state) {
        setVisible(false);
        dispose();
        System.exit(0);
      }
    }
  }","/**
       * Prompt the user with yes/no/cancel. Yes exits and saves, no exits
       * without
       * saving and cancel doesn't quit.
       */
      /* package */void quit() {
    if (validateData()) {

      final int state = JOptionPane.showConfirmDialog(SubjectiveFrame.this,
                                                      ""Save data?  Data will be saved in same file as it was read from."",
                                                      ""Exit"", JOptionPane.YES_NO_CANCEL_OPTION);
      if (JOptionPane.YES_OPTION == state) {
        try {
          save();
          setVisible(false);

        } catch (final IOException ioe) {
          JOptionPane.showMessageDialog(null, ""Error writing to data file: ""
              + ioe.getMessage(), ""Error"", JOptionPane.ERROR_MESSAGE);
        }
      } else if (JOptionPane.NO_OPTION == state) {
        setVisible(false);
      }
    }
  }"
fll-sw.csv,NP_BOOLEAN_RETURN_NULL,fll_a_70,9a9354103dee0778be56ed97da07533e1825761e,2013-12-28 8:27:52,Cleanup findbug warnings from 2.0.3,scoring/src/fll/xml/XMLUtils.java,"@SuppressFBWarnings(value = { ""NP_BOOLEAN_RETURN_NULL"" }, justification = ""Need to return Null so that we can determine when there is no score"")",159,Added," @@ -154,15 +156,14 @@ public final class XMLUtils extends net.mtu.eggplant.xml.XMLUtils {
    /**
     * @see #getDoubleAttributeValue(Element, String)
     */
-  @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""NP_BOOLEAN_RETURN_NULL"" }, justification = ""Need to return Null so that we can determine when there is no score"")
+  @SuppressFBWarnings(value = { ""NP_BOOLEAN_RETURN_NULL"" }, justification = ""Need to return Null so that we can determine when there is no score"")
    public static Boolean getBooleanAttributeValue(final Element element,
                                                   final String attributeName) {
      if (null == element) {
        return null;","  @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""NP_BOOLEAN_RETURN_NULL"" }, justification = ""Need to return Null so that we can determine when there is no score"")
  public static Boolean getBooleanAttributeValue(final Element element,
                                                 final String attributeName) {
    if (null == element) {
      return null;
    }
    final String str = element.getAttribute(attributeName);
    if (null == str
        || """".equals(str)) {
      return null;
    } else {
      return Boolean.valueOf(str);
    }
  }","  /**
   * @see #getDoubleAttributeValue(Element, String)
   */
  @SuppressFBWarnings(value = { ""NP_BOOLEAN_RETURN_NULL"" }, justification = ""Need to return Null so that we can determine when there is no score"")
  public static Boolean getBooleanAttributeValue(final Element element,
                                                 final String attributeName) {
    if (null == element) {
      return null;
    }
    final String str = element.getAttribute(attributeName);
    if (str.isEmpty()) {
      return null;
    } else {
      return Boolean.valueOf(str);
    }
  }",Unactionable,justification there,,,,,,,,,,,
fll-sw.csv,NP_LOAD_OF_KNOWN_NULL_VALUE,fll_a_23,9a9354103dee0778be56ed97da07533e1825761e,2013-12-28 8:27:52,Cleanup findbug warnings from 2.0.3,scoring/src/fll/db/Queries.java,"@SuppressFBWarnings(value = { ""NP_LOAD_OF_KNOWN_NULL_VALUE"" }, justification = ""Findbugs bug 3477957"")",2405,Added," @@ -2401,7 +2402,7 @@ public final class Queries {
     * @return 1 is tournament, 2 is teamNumber, 3 is runNumber
     * @throws SQLException
     */
-  @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""NP_LOAD_OF_KNOWN_NULL_VALUE"" }, justification = ""Findbugs bug 3477957"")
+  @SuppressFBWarnings(value = { ""NP_LOAD_OF_KNOWN_NULL_VALUE"" }, justification = ""Findbugs bug 3477957"")
    private static PreparedStatement getScoreStatsPrep(final Connection connection) throws SQLException {
      PreparedStatement prep = null;
      try {","  @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""NP_LOAD_OF_KNOWN_NULL_VALUE"" }, justification = ""Findbugs bug 3477957"")
  private static PreparedStatement getScoreStatsPrep(final Connection connection) throws SQLException {
    PreparedStatement prep = null;
    try {
      prep = connection.prepareStatement(""SELECT Bye, NoShow, Verified FROM Performance WHERE Tournament = ? AND TeamNumber = ? AND RunNumber = ?"");
    } catch (final SQLException e) {
      SQLFunctions.close(prep);
      throw e;
    }
    return prep;
  }","  /**
   * Get prepared statement that gets Verified, NoShow, Bye columns for a score.
   * 
   * @param connection
   * @return 1 is tournament, 2 is teamNumber, 3 is runNumber
   * @throws SQLException
   */
  @SuppressFBWarnings(value = { ""NP_LOAD_OF_KNOWN_NULL_VALUE"" }, justification = ""Findbugs bug 3477957"")
  private static PreparedStatement getScoreStatsPrep(final Connection connection) throws SQLException {
    PreparedStatement prep = null;
    try {
      prep = connection.prepareStatement(""SELECT Bye, NoShow, Verified FROM Performance WHERE Tournament = ? AND TeamNumber = ? AND RunNumber = ?"");
    } catch (final SQLException e) {
      SQLFunctions.close(prep);
      throw e;
    }
    return prep;
  }",False Positive,justification there,fll_d_84,867a7e27252ed52fce2ba98cd79f04037ecd61a1,2025-11-30 19:39:33,Remove unneeded spotbugs suppressions,src/main/java/fll/db/Queries.java,"@SuppressFBWarnings(value = { ""NP_LOAD_OF_KNOWN_NULL_VALUE"" }, justification = ""Findbugs bug 3477957"")",1826,Deleted,"                                              final int teamNumber,
 @@ -1823,7 +1822,6 @@ public final class Queries {
     * @return 1 is tournament, 2 is teamNumber, 3 is runNumber
     * @throws SQLException on a database error
     */
-  @SuppressFBWarnings(value = { ""NP_LOAD_OF_KNOWN_NULL_VALUE"" }, justification = ""Findbugs bug 3477957"")
    private static PreparedStatement getScoreStatsPrep(final Connection connection) throws SQLException {
      return connection.prepareStatement(""SELECT Bye, NoShow, Verified FROM Performance WHERE Tournament = ? AND TeamNumber = ? AND RunNumber = ?"");
    }","  /**
   * Get prepared statement that gets Verified, NoShow, Bye columns for a score.
   *
   * @param connection
   * @return 1 is tournament, 2 is teamNumber, 3 is runNumber
   * @throws SQLException on a database error
   */
  @SuppressFBWarnings(value = { ""NP_LOAD_OF_KNOWN_NULL_VALUE"" }, justification = ""Findbugs bug 3477957"")
  private static PreparedStatement getScoreStatsPrep(final Connection connection) throws SQLException {
    return connection.prepareStatement(""SELECT Bye, NoShow, Verified FROM Performance WHERE Tournament = ? AND TeamNumber = ? AND RunNumber = ?"");
  }","  /**
   * Get prepared statement that gets Verified, NoShow, Bye columns for a score.
   *
   * @param connection
   * @return 1 is tournament, 2 is teamNumber, 3 is runNumber
   * @throws SQLException on a database error
   */
  private static PreparedStatement getScoreStatsPrep(final Connection connection) throws SQLException {
    return connection.prepareStatement(""SELECT Bye, NoShow, Verified FROM Performance WHERE Tournament = ? AND TeamNumber = ? AND RunNumber = ?"");
  }"
fll-sw.csv,SE_BAD_FIELD,fll_a_27,9a9354103dee0778be56ed97da07533e1825761e,2013-12-28 8:27:52,Cleanup findbug warnings from 2.0.3,scoring/src/fll/scheduler/SchedulerUI.java,"@SuppressFBWarnings(value = ""SE_BAD_FIELD"", justification = ""This calss isn't going to be serialized"")",811,Added," @@ -807,7 +808,7 @@ public class SchedulerUI extends JFrame {
  
    private static final String STARTING_DIRECTORY_PREF = ""startingDirectory"";
  
-  @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = ""SE_BAD_FIELD"", justification = ""This calss isn't going to be serialized"")
+  @SuppressFBWarnings(value = ""SE_BAD_FIELD"", justification = ""This calss isn't going to be serialized"")
    private TournamentSchedule mScheduleData;
  
    /* package */TournamentSchedule getScheduleData() {","  @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = ""SE_BAD_FIELD"", justification = ""This calss isn't going to be serialized"")
  private TournamentSchedule mScheduleData;","  @SuppressFBWarnings(value = ""SE_BAD_FIELD"", justification = ""This calss isn't going to be serialized"")
  private TournamentSchedule mScheduleData;",Unactionable,the enclosing class is not intended to be serialized by developer,,,,,,,,,,,
fll-sw.csv,SE_BAD_FIELD,fll_a_28,9a9354103dee0778be56ed97da07533e1825761e,2013-12-28 8:27:52,Cleanup findbug warnings from 2.0.3,scoring/src/fll/scheduler/ViolationTableModel.java,"@SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")",23,Added,"   * Table model for constraint violations.
   */
  /*package*/class ViolationTableModel extends AbstractTableModel {
  
-  @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
+  @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
    private final List<ConstraintViolation> violations;
  
    private static final Comparator<ConstraintViolation> TEAM_NUMBER_COMPARATOR = new Comparator<ConstraintViolation>() {","
  private static final Comparator<ConstraintViolation> TEAM_NUMBER_COMPARATOR = new Comparator<ConstraintViolation>() {
    public int compare(final ConstraintViolation one, final ConstraintViolation two) {
      if(one.getTeam() < two.getTeam()) {
        return -1;","  @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
  private final List<ConstraintViolation> violations;",Unactionable,the enclosing class is not intended to be serialized by developer,fll_d_97,867a7e27252ed52fce2ba98cd79f04037ecd61a1,2025-11-30 19:39:33,Remove unneeded spotbugs suppressions,src/main/java/fll/scheduler/ViolationTableModel.java,"@SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")",23,Deleted,"  /**
   * Table model for constraint violations.
   */
  /* package */class ViolationTableModel extends AbstractTableModel {
  
-  @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
    private final List<ConstraintViolation> violations;
  
    private static final Comparator<ConstraintViolation> TEAM_NUMBER_COMPARATOR = new Comparator<ConstraintViolation>() {","  @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
  private final List<ConstraintViolation> violations;",private final List<ConstraintViolation> violations;
fll-sw.csv,SE_BAD_FIELD,fll_a_36,9a9354103dee0778be56ed97da07533e1825761e,2013-12-28 8:27:52,Cleanup findbug warnings from 2.0.3,scoring/src/fll/subjective/SummaryDialog.java,"@SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")",204,Added," @@ -201,10 +201,10 @@ import fll.xml.ScoreCategory;
        _columnNames = columnNames;
      }
  
-    @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
+    @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
      private final List<SummaryData> _summaryData;
  
-    @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
+    @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")","    @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
    private final List<SummaryData> _summaryData;","    @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
    private final List<SummaryData> _summaryData;",Unactionable,the enclosing class is not intended to be serialized by developer,,,,,,,,,,,
fll-sw.csv,SE_BAD_FIELD,fll_a_39,9a9354103dee0778be56ed97da07533e1825761e,2013-12-28 8:27:52,Cleanup findbug warnings from 2.0.3,scoring/src/fll/subjective/SummaryDialog.java,"@SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")",272,Added,"-    @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
+    @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
      private final List<SummaryData> _data;
  
-    @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
+    @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
      private final List<String> _categoryColumnNames;
  
      @Override","    @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
    private final List<String> _categoryColumnNames;","    @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
    private final List<String> _categoryColumnNames;",Unactionable,the enclosing class is not intended to be serialized by developer,,,,,,,,,,,
fll-sw.csv,SE_BAD_FIELD,fll_a_38,9a9354103dee0778be56ed97da07533e1825761e,2013-12-28 8:27:52,Cleanup findbug warnings from 2.0.3,scoring/src/fll/subjective/SummaryDialog.java,"@SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")",269,Added," @@ -266,10 +266,10 @@ import fll.xml.ScoreCategory;
        _categoryColumnNames = categoryColumnNames;
      }
  
-    @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
+    @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
      private final List<SummaryData> _data;
  
-    @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
+    @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")","    @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
    private final List<SummaryData> _data;","    @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
    private final List<SummaryData> _data;",Unactionable,the enclosing class is not intended to be serialized by developer,,,,,,,,,,,
fll-sw.csv,SE_BAD_FIELD,fll_a_37,9a9354103dee0778be56ed97da07533e1825761e,2013-12-28 8:27:52,Cleanup findbug warnings from 2.0.3,scoring/src/fll/subjective/SummaryDialog.java,"@SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")",207,Added,"-    @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
+    @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
      private final List<SummaryData> _summaryData;
  
-    @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
+    @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
      private final List<String> _columnNames;
  
      @Override
 @@ -266,10 +266,10 @@ import fll.xml.ScoreCategory;","    @edu.umd.cs.findbugs.annotations.SuppressWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
    private final List<String> _columnNames;","    @SuppressFBWarnings(value = { ""SE_BAD_FIELD"" }, justification = ""Not serializing these classes"")
    private final List<String> _columnNames;",Unactionable,the enclosing class is not intended to be serialized by developer,,,,,,,,,,,
